------------------------------------------------------------
 E1
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.25949
            0.430558,              1.29717
            0.861116,              1.39714
             1.29167,              1.52168
             1.72223,              1.62218
             2.15279,              1.70715
             2.58335,              1.79503
              3.0139,              1.89059
             3.44446,              1.93067
             3.87502,              1.78493
             4.30558,              1.65702
             4.73614,               1.5461
             5.16669,              1.45551
             5.59725,              1.38621
             6.02781,              1.33907
             6.45837,              1.31524
             6.88892,              1.31572
             7.31948,              1.34079
             7.75004,              1.38968
              8.1806,              1.45701

------------------------------------------------------------
 E6
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,           -0.0753639
            0.430558,            -0.121868
            0.861116,            -0.160993
             1.29167,            -0.214702
             1.72223,            -0.269028
             2.15279,            -0.291519
             2.58335,            -0.318225
              3.0139,            -0.352428
             3.44446,            -0.396196
             3.87502,            -0.451226
             4.30558,            -0.518919
             4.73614,            -0.600277
             5.16669,            -0.695757
             5.59725,            -0.805159
             6.02781,            -0.927562
             6.45837,             -1.06132
             6.88892,             -1.20402
             7.31948,             -1.35119
             7.75004,             -1.46735
              8.1806,             -1.52054

