------------------------------------------------------------
 E1
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.34554
            0.430558,              1.38886
            0.861116,              1.49511
             1.29167,              1.62743
             1.72223,              1.74371
             2.15279,              1.84046
             2.58335,              1.93375
              3.0139,              2.03123
             3.44446,               2.0508
             3.87502,              1.90736
             4.30558,              1.78068
             4.73614,              1.67222
             5.16669,              1.58367
             5.59725,              1.51621
             6.02781,              1.46904
             6.45837,              1.44461
             6.88892,              1.44397
             7.31948,               1.4674
             7.75004,              1.51398
              8.1806,              1.57272

------------------------------------------------------------
 E6
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,            -0.116827
            0.430558,            -0.165038
            0.861116,            -0.253505
             1.29167,            -0.287062
             1.72223,            -0.362108
             2.15279,            -0.443266
             2.58335,            -0.467565
              3.0139,            -0.498988
             3.44446,            -0.539251
             3.87502,            -0.589886
             4.30558,            -0.652263
             4.73614,            -0.727436
             5.16669,            -0.815982
             5.59725,             -0.91786
             6.02781,             -1.03232
             6.45837,             -1.15783
             6.88892,             -1.29195
             7.31948,             -1.43008
             7.75004,             -1.52537
              8.1806,             -1.54813

