------------------------------------------------------------
 E1
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.22179
            0.430558,              1.25823
            0.861116,               1.3556
             1.29167,              1.48088
             1.72223,              1.57704
             2.15279,              1.65717
             2.58335,              1.74284
              3.0139,              1.83755
             3.44446,              1.87906
             3.87502,              1.73173
             4.30558,              1.60191
             4.73614,              1.49037
             5.16669,              1.39896
             5.59725,               1.3295
             6.02781,              1.28212
             6.45837,              1.25826
             6.88892,              1.25865
             7.31948,              1.28442
             7.75004,              1.33427
              8.1806,              1.40449

------------------------------------------------------------
 E6
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,           -0.0608762
            0.430558,            -0.105877
            0.861116,            -0.131795
             1.29167,            -0.178577
             1.72223,            -0.208551
             2.15279,            -0.228904
             2.58335,             -0.25578
              3.0139,            -0.291164
             3.44446,            -0.336766
             3.87502,             -0.39416
             4.30558,             -0.46468
             4.73614,            -0.549247
             5.16669,             -0.64822
             5.59725,            -0.761279
             6.02781,            -0.887369
             6.45837,              -1.0247
             6.88892,             -1.17072
             7.31948,             -1.32118
             7.75004,             -1.43569
              8.1806,             -1.47952

