------------------------------------------------------------
 E1
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              2.03986
            0.430558,              2.09038
            0.861116,              2.23584
             1.29167,               2.4607
             1.72223,              2.74517
             2.15279,              3.06824
             2.58335,              3.35979
              3.0139,              3.44645
             3.44446,              3.39241
             3.87502,              3.29049
             4.30558,              3.20027
             4.73614,              3.12398
             5.16669,               3.0631
             5.59725,              3.01831
             6.02781,              2.96235
             6.45837,               2.9209
             6.88892,              2.89472
             7.31948,              2.88431
             7.75004,              2.88968
              8.1806,              2.90413

------------------------------------------------------------
 E6
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,            -0.393413
            0.430558,            -0.445013
            0.861116,             -0.58993
             1.29167,            -0.804362
             1.72223,             -1.05958
             2.15279,             -1.31185
             2.58335,             -1.44328
              3.0139,             -1.51131
             3.44446,             -1.58221
             3.87502,             -1.66173
             4.30558,             -1.74927
             4.73614,             -1.82642
             5.16669,             -1.89765
             5.59725,             -1.96474
             6.02781,             -2.02567
             6.45837,             -2.07894
             6.88892,             -2.12323
             7.31948,             -2.15697
             7.75004,             -2.17831
              8.1806,             -2.18564

