------------------------------------------------------------
 E1
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.19434
            0.430558,              1.23005
            0.861116,              1.32546
             1.29167,              1.44793
             1.72223,              1.54302
             2.15279,              1.61956
             2.58335,              1.70382
              3.0139,              1.79807
             3.44446,              1.84568
             3.87502,              1.69747
             4.30558,              1.56674
             4.73614,              1.45496
             5.16669,              1.36278
             5.59725,              1.29254
             6.02781,              1.24493
             6.45837,              1.22097
             6.88892,              1.22196
             7.31948,              1.24776
             7.75004,              1.29848
              8.1806,              1.37146

------------------------------------------------------------
 E6
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,           -0.0471465
            0.430558,           -0.0834379
            0.861116,            -0.110437
             1.29167,            -0.145632
             1.72223,            -0.162428
             2.15279,             -0.18297
             2.58335,            -0.210491
              3.0139,            -0.246797
             3.44446,            -0.293581
             3.87502,            -0.352423
             4.30558,            -0.424644
             4.73614,            -0.511145
             5.16669,            -0.612246
             5.59725,            -0.727583
             6.02781,            -0.856067
             6.45837,            -0.995918
             6.88892,             -1.14467
             7.31948,             -1.29796
             7.75004,             -1.40813
              8.1806,             -1.45038

