------------------------------------------------------------
 E1
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.27663
             0.30445,              1.29043
            0.608901,              1.33126
            0.913351,              1.39735
              1.2178,               1.3853
             1.52225,              1.36647
              1.8267,              1.35569
             2.13115,              1.35277
              2.4356,              1.35753
             2.74005,              1.36974
              3.0445,              1.38918
             3.34895,              1.41562
              3.6534,               1.4488
             3.95785,              1.48848
              4.2623,               1.5344
             4.56676,              1.58631
             4.87121,              1.64395
             5.17566,              1.70708
             5.48011,              1.77544
             5.78456,              1.84814

------------------------------------------------------------
 E6
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,            -0.153842
             0.30445,            -0.160934
            0.608901,            -0.176563
            0.913351,            -0.174408
              1.2178,            -0.186855
             1.52225,             -0.21396
              1.8267,            -0.235901
             2.13115,            -0.266949
              2.4356,            -0.314482
             2.74005,            -0.367075
              3.0445,            -0.426862
             3.34895,             -0.50285
              3.6534,            -0.588057
             3.95785,            -0.680072
              4.2623,            -0.786691
             4.56676,            -0.906181
             4.87121,             -1.03283
             5.17566,             -1.16382
             5.48011,             -1.29146
             5.78456,             -1.33389

