------------------------------------------------------------
 E1
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.47278
            0.430558,              1.52267
            0.861116,              1.66323
             1.29167,              1.83067
             1.72223,              1.95907
             2.15279,              2.07186
             2.58335,               2.1755
              3.0139,              2.27749
             3.44446,              2.29785
             3.87502,              2.16191
             4.30558,              2.04277
             4.73614,              1.94052
             5.16669,              1.85393
             5.59725,              1.78733
             6.02781,              1.74169
             6.45837,              1.71778
             6.88892,              1.71597
             7.31948,              1.73607
             7.75004,              1.77693
              8.1806,              1.82607

------------------------------------------------------------
 E6
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,            -0.178635
            0.430558,            -0.231198
            0.861116,            -0.374895
             1.29167,            -0.438739
             1.72223,            -0.490033
             2.15279,            -0.578115
             2.58335,            -0.696752
              3.0139,            -0.767969
             3.44446,            -0.808756
             3.87502,             -0.85555
             4.30558,            -0.910498
             4.73614,            -0.975072
             5.16669,             -1.05015
             5.59725,             -1.13599
             6.02781,              -1.2321
             6.45837,             -1.33714
             6.88892,             -1.44867
             7.31948,              -1.5627
             7.75004,              -1.6723
              8.1806,             -1.75579

